1,68,96,115,148,87,79,62,49,44,54,286,130
2,108,93,113,139,82,77,60,47,46,50,216,123
3,167,90,117,134,78,74,57,46,43,47,167,118
4,129,89,121,130,78,85,56,60,43,46,142,149
5,116,88,120,128,80,81,71,56,79,45,130,141
6,107,86,114,123,92,80,69,52,69,46,120,129
7,102,86,109,117,111,85,61,50,61,53,111,122
8,100,88,107,113,101,97,57,48,65,62,104,118
9,101,93,105,110,92,95,54,47,69,57,99,122
10,102,98,102,108,87,88,53,46,67,53,117,125
11,103,106,106,106,84,83,64,48,82,63,113,124
12,109,112,103,104,81,89,68,50,105,73,111,119
13,119,114,100,103,78,89,59,49,79,72,109,113
14,111,131,98,101,76,95,55,50,68,70,103,108
15,105,122,96,100,74,86,53,47,61,66,114,104
16,100,116,94,98,73,82,52,45,57,61,111,101
17,96,111,93,97,75,92,50,44,54,57,106,98
18,94,108,91,95,77,83,49,44,52,54,103,94
19,98,109,90,93,82,78,48,45,60,68,100,91
20,111,111,96,91,80,74,47,46,60,70,97,89
21,106,110,114,89,76,71,47,44,55,64,96,86
22,103,109,117,88,75,68,46,43,52,69,98,84
23,101,107,121,86,87,65,45,42,51,72,114,83
24,133,105,126,86,87,63,45,41,49,78,156,82
25,157,102,134,85,92,62,44,41,48,85,171,82
26,135,102,142,85,83,60,44,41,48,92,210,81
27,123,124,149,83,89,65,43,40,52,124,212,79
28,114,120,147,81,84,62,43,40,53,134,171,77
29,108,,144,79,84,59,43,40,65,131,149,76
30,103,,142,78,80,58,46,39,59,128,137,75
31,99,,158,,81,,50,41,,181,,74
